round,average_global_reward,elapsed_time
261,96.0,1.8816993236541748
262,96.0,1.8880295753479004
263,96.0,1.8932063579559326
264,96.0,1.897214412689209
265,96.0,1.9027447700500488
266,96.0,1.9057445526123047
267,96.0,1.9103209972381592
268,96.0,1.9143126010894775
269,96.0,1.9178407192230225
270,96.0,1.9234755039215088
271,96.0,1.9279956817626953
272,96.0,1.9330558776855469
273,96.0,1.9366095066070557
274,96.0,1.9396071434020996
275,96.0,1.9436719417572021
276,96.0,1.94869065284729
277,96.0,1.9527232646942139
278,96.0,1.955728530883789
279,96.0,1.961766242980957
280,96.0,1.9663236141204834
281,96.0,1.9725282192230225
282,96.0,1.9760758876800537
283,96.0,1.9807634353637695
284,96.0,1.9851014614105225
285,96.0,1.9908173084259033
286,96.0,1.9963533878326416
287,96.0,1.9993677139282227
288,96.0,2.003554582595825
289,96.0,2.0070807933807373
290,96.0,2.0116236209869385
291,96.0,2.0166685581207275
292,96.0,2.0206756591796875
293,96.0,2.0252058506011963
294,96.0,2.0297493934631348
295,96.0,2.032741069793701
296,96.0,2.0357491970062256
297,96.0,2.039780855178833
298,96.0,2.043300151824951
299,96.0,2.047835111618042
