round,global_best_fitness,elapsed_time
122,1106.0,2.600123167037964
123,1106.0,2.6195971965789795
124,1106.0,2.6401381492614746
125,1106.0,2.660883665084839
126,1106.0,2.6811861991882324
127,1106.0,2.700969696044922
128,1106.0,2.719705581665039
129,1106.0,2.7385151386260986
130,1106.0,2.7578165531158447
131,1106.0,2.7786684036254883
132,1106.0,2.796502113342285
133,1106.0,2.818533182144165
134,1106.0,2.8371856212615967
135,1106.0,2.8570761680603027
136,1106.0,2.876392364501953
137,1106.0,2.8965563774108887
138,1106.0,2.91817307472229
139,1106.0,2.9378323554992676
140,1106.0,2.9600532054901123
141,1106.0,2.9797143936157227
142,1106.0,3.000659704208374
143,1106.0,3.022742509841919
144,1106.0,3.0438191890716553
145,1106.0,3.063666343688965
146,1106.0,3.083634376525879
147,1106.0,3.101900577545166
148,1106.0,3.1222128868103027
149,1106.0,3.1431572437286377
150,1106.0,3.1657662391662598
151,1106.0,3.187161922454834
152,1106.0,3.2095985412597656
153,1106.0,3.22983455657959
154,1106.0,3.2501163482666016
155,1106.0,3.2702789306640625
156,1106.0,3.2912750244140625
157,1106.0,3.312922716140747
158,1106.0,3.3331711292266846
159,1106.0,3.3533029556274414
160,1106.0,3.372525691986084
161,1106.0,3.3929989337921143
162,1106.0,3.4132654666900635
163,1106.0,3.433701515197754
164,1106.0,3.453385353088379
165,1106.0,3.4739599227905273
166,1106.0,3.494232416152954
167,1106.0,3.5164175033569336
168,1106.0,3.537440776824951
169,1106.0,3.557116985321045
170,1106.0,3.577685832977295
171,1106.0,3.598888397216797
172,1106.0,3.6208441257476807
173,1106.0,3.6436219215393066
174,1106.0,3.6626880168914795
175,1106.0,3.687885046005249
176,1106.0,3.714200973510742
177,1106.0,3.7376179695129395
178,1106.0,3.758493423461914
179,1106.0,3.780174970626831
180,1106.0,3.7998299598693848
181,1106.0,3.8186962604522705
182,1106.0,3.8372809886932373
183,1106.0,3.8569884300231934
184,1106.0,3.8762621879577637
185,1106.0,3.896449565887451
186,1106.0,3.9177839756011963
187,1106.0,3.9359707832336426
188,1106.0,3.9556996822357178
189,1106.0,3.978865385055542
190,1106.0,4.000004768371582
191,1106.0,4.020019769668579
192,1106.0,4.03904914855957
193,1106.0,4.058717727661133
194,1106.0,4.079479455947876
195,1106.0,4.0992536544799805
196,1106.0,4.121369123458862
197,1106.0,4.141463041305542
198,1106.0,4.163165092468262
199,1106.0,4.182189226150513
200,1106.0,4.201333284378052
201,1106.0,4.22220253944397
202,1106.0,4.24378514289856
