round,average_global_reward,elapsed_time
136,95.0,1.0085482597351074
137,95.0,1.01658034324646
138,95.0,1.0230989456176758
139,95.0,1.0291340351104736
140,95.0,1.0371923446655273
141,95.0,1.0444889068603516
142,95.0,1.052635908126831
143,95.0,1.0585017204284668
144,95.0,1.0640337467193604
145,95.0,1.0709457397460938
146,95.0,1.0778417587280273
147,95.0,1.083871603012085
148,95.0,1.0916287899017334
149,95.0,1.098738193511963
150,95.0,1.1055893898010254
151,95.0,1.110640048980713
152,95.0,1.1182022094726562
153,95.0,1.1242311000823975
154,95.0,1.1312472820281982
155,95.0,1.1367545127868652
156,95.0,1.1428501605987549
157,95.0,1.1495563983917236
158,95.0,1.1551032066345215
159,95.0,1.1621391773223877
160,95.0,1.1677260398864746
161,95.0,1.1741950511932373
162,95.0,1.1806182861328125
163,95.0,1.1879181861877441
164,95.0,1.1961705684661865
165,95.0,1.201899528503418
166,95.0,1.2107584476470947
167,95.0,1.2168004512786865
168,95.0,1.2223284244537354
169,95.0,1.2288570404052734
170,95.0,1.2364792823791504
171,95.0,1.2426495552062988
172,95.0,1.2480010986328125
173,95.0,1.2545254230499268
174,95.0,1.2600502967834473
175,95.0,1.2686293125152588
176,95.0,1.2762715816497803
177,95.0,1.284571886062622
178,95.0,1.2910902500152588
179,95.0,1.2961704730987549
180,95.0,1.3022537231445312
181,95.0,1.3087666034698486
182,95.0,1.3178622722625732
183,95.0,1.3239264488220215
184,95.0,1.32993483543396
185,95.0,1.3360323905944824
186,95.0,1.3440799713134766
187,95.0,1.3500614166259766
188,95.0,1.3571040630340576
189,95.0,1.365400791168213
190,95.0,1.3729205131530762
191,95.0,1.379521131515503
192,95.0,1.3872692584991455
193,95.0,1.3938570022583008
194,95.0,1.4013590812683105
195,95.0,1.4068686962127686
196,95.0,1.413083791732788
197,95.0,1.4208290576934814
198,95.0,1.4294776916503906
199,95.0,1.4345073699951172
200,95.0,1.4415676593780518
201,95.0,1.449131727218628
202,95.0,1.4536869525909424
203,95.0,1.4602479934692383
204,95.0,1.465771198272705
205,95.0,1.4720079898834229
206,95.0,1.4780874252319336
207,95.0,1.4826087951660156
208,95.0,1.4878730773925781
209,95.0,1.493640422821045
210,95.0,1.4990198612213135
211,95.0,1.5040557384490967
212,95.0,1.5096979141235352
